text is: E1 Disease_disorder:T3===>id:E1, type:Disease_disorder, name: attention-deficit hyperactivity disorder, icolor:Chocolate
text is: E2 Disease_disorder:T4===>id:E2, type:Disease_disorder, name: ADHD, icolor:Chocolate
text is: E3 Date:T5===>id:E3, type:Date, name: 2005, icolor:Green
text is: E4 Diagnostic_procedure:T6===>id:E4, type:Diagnostic_procedure, name: body mass index, icolor:DeepSkyBlue
text is: E5 Diagnostic_procedure:T7===>id:E5, type:Diagnostic_procedure, name: BMI, icolor:DeepSkyBlue
text is: E6 Sign_symptom:T10===>id:E6, type:Sign_symptom, name: overweight, icolor:GreenYellow
text is: E7 Medication:T11===>id:E7, type:Medication, name: quetiapine fumarate, icolor:Aqua
text is: E8 Medication:T12===>id:E8, type:Medication, name: (Seroquel®), icolor:Aqua
text is: E9 Date:T14===>id:E9, type:Date, name: April 2005, icolor:Green
text is: E10 Medication:T15===>id:E10, type:Medication, name: methylphenidate, icolor:Aqua
text is: E11 Medication:T16===>id:E11, type:Medication, name: (Concerta®), icolor:Aqua
text is: E12 Date:T18===>id:E12, type:Date, name: September 2005, icolor:Green
text is: E13 Date:T19===>id:E13, type:Date, name: beginning of August 2006, icolor:Green
text is: E14 Activity:T20===>id:E14, type:Activity, name: admitted, icolor:DarkRed
text is: E15 Sign_symptom:T23===>id:E15, type:Sign_symptom, name: dyspnoea, icolor:GreenYellow
text is: E16 Sign_symptom:T24===>id:E16, type:Sign_symptom, name: tachypnea, icolor:GreenYellow
text is: E17 Sign_symptom:T25===>id:E17, type:Sign_symptom, name: tachycardia, icolor:GreenYellow
text is: E18 Sign_symptom:T26===>id:E18, type:Sign_symptom, name: cyanosis, icolor:GreenYellow
text is: E19 Activity:T27===>id:E19, type:Activity, name: admission, icolor:DarkRed
text is: E20 Diagnostic_procedure:T28===>id:E20, type:Diagnostic_procedure, name: blood pressure, icolor:DeepSkyBlue
text is: E21 Diagnostic_procedure:T30===>id:E21, type:Diagnostic_procedure, name: arterial blood gas, icolor:DeepSkyBlue
text is: E22 Diagnostic_procedure:T31===>id:E22, type:Diagnostic_procedure, name: pH, icolor:DeepSkyBlue
text is: E23 Diagnostic_procedure:T33===>id:E23, type:Diagnostic_procedure, name: pCO2, icolor:DeepSkyBlue
text is: E24 Diagnostic_procedure:T34===>id:E24, type:Diagnostic_procedure, name: paO2, icolor:DeepSkyBlue
text is: E25 Diagnostic_procedure:T35===>id:E25, type:Diagnostic_procedure, name: BE, icolor:DeepSkyBlue
text is: E26 Diagnostic_procedure:T39===>id:E26, type:Diagnostic_procedure, name: C-reactive protein, icolor:DeepSkyBlue
text is: E27 Diagnostic_procedure:T42===>id:E27, type:Diagnostic_procedure, name: X-ray, icolor:DeepSkyBlue
text is: E28 Sign_symptom:T45===>id:E28, type:Sign_symptom, name: enlarged heart, icolor:GreenYellow
text is: E29 Sign_symptom:T43===>id:E29, type:Sign_symptom, name: hemoptysis, icolor:GreenYellow
text is: E30 Medication:T44===>id:E30, type:Medication, name: heparin, icolor:Aqua
text is: E31 Sign_symptom:T48===>id:E31, type:Sign_symptom, name: embolism, icolor:GreenYellow
text is: E32 Disease_disorder:T49===>id:E32, type:Disease_disorder, name: cardiogenic shock, icolor:Chocolate
text is: E33 Medication:T50===>id:E33, type:Medication, name: vasoactive drugs, icolor:Aqua
text is: E34 Sign_symptom:T51===>id:E34, type:Sign_symptom, name: oliguric, icolor:GreenYellow
text is: E35 Diagnostic_procedure:T52===>id:E35, type:Diagnostic_procedure, name: liver enzymes, icolor:DeepSkyBlue
text is: E36 Activity:T54===>id:E36, type:Activity, name: referred, icolor:DarkRed
text is: E37 Activity:T56===>id:E37, type:Activity, name: admission, icolor:DarkRed
text is: E38 Diagnostic_procedure:T57===>id:E38, type:Diagnostic_procedure, name: blood pressure, icolor:DeepSkyBlue
text is: E39 Medication:T59===>id:E39, type:Medication, name: noradrenaline, icolor:Aqua
text is: E40 Diagnostic_procedure:T61===>id:E40, type:Diagnostic_procedure, name: heart rate, icolor:DeepSkyBlue
text is: E41 Diagnostic_procedure:T63===>id:E41, type:Diagnostic_procedure, name: temperature, icolor:DeepSkyBlue
