text is: T1 Age 3 14 18-year-old===>id:T1, type:Age, name: 18-year-old, icolor:MediumVioletRed
text is: T2 Gender 15 19 male===>id:T2, type:Gender, name: male, icolor:MediumVioletRed
text is: T3 Disease_disorder 39 79 attention-deficit hyperactivity disorder===>id:T3, type:Disease_disorder, name: attention-deficit hyperactivity disorder, icolor:Chocolate
text is: T4 Disease_disorder 81 85 ADHD===>id:T4, type:Disease_disorder, name: ADHD, icolor:Chocolate
text is: T5 Date 90 94 2005===>id:T5, type:Date, name: 2005, icolor:Green
text is: T6 Diagnostic_procedure 121 136 body mass index===>id:T6, type:Diagnostic_procedure, name: body mass index, icolor:DeepSkyBlue
text is: T7 Diagnostic_procedure 138 141 BMI===>id:T7, type:Diagnostic_procedure, name: BMI, icolor:DeepSkyBlue
text is: T8 Lab_value 146 148 40===>id:T8, type:Lab_value, name: 40, icolor:Yellow
text is: T9 History 103 113 overweight===>id:T9, type:History, name: overweight, icolor:MediumVioletRed
text is: T10 Sign_symptom 103 113 overweight===>id:T10, type:Sign_symptom, name: overweight, icolor:GreenYellow
text is: T11 Medication 168 187 quetiapine fumarate===>id:T11, type:Medication, name: quetiapine fumarate, icolor:Aqua
text is: T12 Medication 188 199 (Seroquel®)===>id:T12, type:Medication, name: (Seroquel®), icolor:Aqua
text is: T13 Dosage 200 212 900 mg daily===>id:T13, type:Dosage, name: 900 mg daily, icolor:Gold
text is: T14 Date 216 226 April 2005===>id:T14, type:Date, name: April 2005, icolor:Green
text is: T15 Medication 231 246 methylphenidate===>id:T15, type:Medication, name: methylphenidate, icolor:Aqua
text is: T16 Medication 247 258 (Concerta®)===>id:T16, type:Medication, name: (Concerta®), icolor:Aqua
text is: T17 Dosage 259 270 54 mg daily===>id:T17, type:Dosage, name: 54 mg daily, icolor:Gold
text is: T18 Date 274 288 September 2005===>id:T18, type:Date, name: September 2005, icolor:Green
text is: T19 Date 297 321 beginning of August 2006===>id:T19, type:Date, name: beginning of August 2006, icolor:Green
text is: T20 Activity 329 337 admitted===>id:T20, type:Activity, name: admitted, icolor:DarkRed
text is: T21 Nonbiological_location 345 359 local hospital===>id:T21, type:Nonbiological_location, name: local hospital, icolor:LightGreen
text is: T22 Severity 365 371 severe===>id:T22, type:Severity, name: severe, icolor:Gold
text is: T23 Sign_symptom 372 380 dyspnoea===>id:T23, type:Sign_symptom, name: dyspnoea, icolor:GreenYellow
text is: T24 Sign_symptom 382 391 tachypnea===>id:T24, type:Sign_symptom, name: tachypnea, icolor:GreenYellow
text is: T25 Sign_symptom 393 404 tachycardia===>id:T25, type:Sign_symptom, name: tachycardia, icolor:GreenYellow
text is: T26 Sign_symptom 410 418 cyanosis===>id:T26, type:Sign_symptom, name: cyanosis, icolor:GreenYellow
text is: T27 Activity 423 432 admission===>id:T27, type:Activity, name: admission, icolor:DarkRed
text is: T28 Diagnostic_procedure 437 451 blood pressure===>id:T28, type:Diagnostic_procedure, name: blood pressure, icolor:DeepSkyBlue
text is: T29 Lab_value 456 467 120/80 mmHg===>id:T29, type:Lab_value, name: 120/80 mmHg, icolor:Yellow
text is: T30 Diagnostic_procedure 477 495 arterial blood gas===>id:T30, type:Diagnostic_procedure, name: arterial blood gas, icolor:DeepSkyBlue
text is: T31 Diagnostic_procedure 507 509 pH===>id:T31, type:Diagnostic_procedure, name: pH, icolor:DeepSkyBlue
text is: T32 Lab_value 513 517 7.45===>id:T32, type:Lab_value, name: 7.45, icolor:Yellow
text is: T33 Diagnostic_procedure 519 523 pCO2===>id:T33, type:Diagnostic_procedure, name: pCO2, icolor:DeepSkyBlue
text is: T34 Diagnostic_procedure 537 541 paO2===>id:T34, type:Diagnostic_procedure, name: paO2, icolor:DeepSkyBlue
text is: T35 Diagnostic_procedure 559 561 BE===>id:T35, type:Diagnostic_procedure, name: BE, icolor:DeepSkyBlue
text is: T36 Lab_value 527 535 3.55 kPa===>id:T36, type:Lab_value, name: 3.55 kPa, icolor:Yellow
text is: T37 Lab_value 545 553 7.76 kPa===>id:T37, type:Lab_value, name: 7.76 kPa, icolor:Yellow
